id,title,overview,release_date,runtime,genres,production_companies,budget,revenue,popularity,vote_average,vote_count,status,poster_path,backdrop_path,language
440775,Galaxy of Horrors,"Trapped in a damaged cryogenic pod, a man is forced to watch a series of horrific science-fiction tales while his life support systems run out. Featuring eight intense stories of the unknown and other-worldly, equally wonderful and terrifying. Visit the GALAXY OF HORRORS, if you dare! Curated from Rue Morgue &amp; Unstable Ground's Little Terrors Festival.",2024-01-01,105 minutes,"Horror, Science Fiction","Unstable Ground Productions, Indiecan Entertainment, Rue Morgue Magazine",0,0,2.547,7.0,2,Released,https://image.tmdb.org/t/p/w500/dOPOpcykEs3YzoajZmjw0Lh5Kyd.jpg,https://image.tmdb.org/t/p/w500/ghVDH6l0Y1llgsdWVRC66mk8pdy.jpg,En
747059,Burrow,"A young rabbit embarks on a journey to dig the burrow of her dreams, despite not having a clue what she's doing.",2024-01-12,6 minutes,"Animation, Family, Comedy",Pixar,0,0,8.119,7.286,21,Released,https://image.tmdb.org/t/p/w500/zkQcHvMc7gVG6OWVotVLDeRkrRl.jpg,https://image.tmdb.org/t/p/w500/tj58v7h4d9xDkFr3Hot0qhKdwRf.jpg,En
714567,#Blue_Whale,"Rebellious schoolgirl Dana grieves for her younger sister, a once-happy kid who suddenly stepped in front of a train. Desperate to learn what happened, she explores her sister's online history, discovering a sinister social-media game.",2024-01-11,95 minutes,"Thriller, Horror, Drama","Bazelevs Production, KION",0,0,34.275,6.3,68,Released,https://image.tmdb.org/t/p/w500/2TmZ2lgDEYJAFpeUMALRx5NwqK.jpg,https://image.tmdb.org/t/p/w500/1B7j91GQXWAOUsGLtOboCYYvy8w.jpg,Ru
985604,Pasang: In the Shadow of Everest,"Transcending cultural barriers and consistently going against the grain, female Nepali climber Pasang Lhamu Sherpa attempted to summit Everest four times in the early nineties. Although she was not allowed to attend school as a child, Pasang did not let that stop her from pursuing her dreams. After founding her own trekking company in Kathmandu, she blazed a trail for Nepali women via her efforts to summit Everest. Proving how big you can dream and how far you can go to achieve those dreams, she left a legacy not only for the family she has left behind, but for the myriad women following in her footsteps.",2024-01-19,71 minutes,Documentary,"Follow Your Dream Foundation, Mila Productions",0,25267,2.218,0.0,0,Released,https://image.tmdb.org/t/p/w500/eSKvoZP5OR6FibSRK1gOGKJeSgW.jpg,https://image.tmdb.org/t/p/w500/sRrmYdnzEdbkqiSkoLwD1wtviML.jpg,En
951171,Dogwatch,"For a long time, vessels crossing the High Risk Area on the Somali coastline would hire private mercenaries in order to protect themselves from pirates. Nowadays, the attacks have dropped off and the mercenaries encounter a new problem: the lack of action. Daily training to face a non-existent enemy creates a sense of absurdity, captured by Gregoris Rentisʼ camera with great inspiration and precision.",2024-01-18,78 minutes,Documentary,Asterisk* Productions,0,0,0.917,0.0,0,Released,https://image.tmdb.org/t/p/w500/1McRQaifc5Zng3Yer5fBZkDCZjK.jpg,https://image.tmdb.org/t/p/w500/spgF0E2Uz3nZsA0gRTq2OHalb38.jpg,El
941883,Evil Bong 888: Infinity High,"When he's finally given a chance to go legit by opening a restaurant, Rabbit can't stop himself from sliding back to his old ways. With EeBee as his Master Chef, weed is definitely on the menu and this high-end joint is the toke of the town. Staffed with tons of familiar faces and fan favorite buds, will Rabbit end on a high note? Or will he be chopped by the cops in a kitchen nightmare that goes up in smoke.",2024-01-04,59 minutes,"Comedy, Horror",Full Moon Entertainment,0,0,4.142,6.0,4,Released,https://image.tmdb.org/t/p/w500/rWo4tiVgMSsUAdw641cOr9QBcJZ.jpg,https://image.tmdb.org/t/p/w500/iw8KkrRICr4sczPS8cZI9P0sjoc.jpg,En
851476,How Is Katia?,"Anna has just taken on a mortgage in dreams of a better life with her daughter Katia. Instead, a turn of events makes Anna face a dilemma that will change her personal moral borders in a society that hasn't got any.",2024-01-25,101 minutes,Drama,Evos Film,340000,0,0.725,8.0,2,Released,https://image.tmdb.org/t/p/w500/qomdfs14SSGN7kD7RIrnxo4Xz0W.jpg,https://image.tmdb.org/t/p/w500/cTrHrEKrK7ge9B5CgYUTyANGgvd.jpg,Uk
1022154,Becoming Giulia,"Giulia Tonelli, principal dancer at the Zurich Opera House, returns from maternity leave. She has to fight to find her place and a new balance, between the competitive and extremely demanding world of an elite ballet company and her new family life.",2024-01-18,103 minutes,Documentary,"PointProd, RSI, RTS, SRF",0,0,0.918,0.0,0,Released,https://image.tmdb.org/t/p/w500/xSAg6PXRrfXpfwG0E1RxUwk5mOG.jpg,https://image.tmdb.org/t/p/w500/j7fJdeEfLboVIrzW5b39c92zLZR.jpg,De
1019939,Hundreds of Beavers,"In the 19th century, a drunken applejack salesman must go from zero to hero and become North America's greatest fur trapper by defeating hundreds of beavers.",2024-01-26,108 minutes,"Comedy, Adventure, Action",SRH,150000,752885,18.643,7.6,94,Released,https://image.tmdb.org/t/p/w500/qgXS9HrYaYDnILeXebatCbtX9IP.jpg,https://image.tmdb.org/t/p/w500/krN2V7leYVBp6dOLzP11sM44eNb.jpg,En
1096462,Double Down South,"In a world of illegal, high-stakes gambling, Nick owns a run-down plantation house. He is enamored with the smart, tough and charming ace Diana's intent to win big and is determined to stake her.",2024-01-19,120 minutes,"Drama, Thriller","Parami Productions, Benacus Entertainment",0,0,2.787,5.5,8,Released,https://image.tmdb.org/t/p/w500/qgAnqwaFKg0fsWVTFEo6vk82msE.jpg,https://image.tmdb.org/t/p/w500/fxpAGvjcoPaFHx9csqlBH3Ysb47.jpg,En
